#C       		#d1             #d2            #d3           #d4
-10	              0.1445           0.082           0.083	    0.1085	
-9                    0.112	       0.075	       0.0815	    0.117
-8                    0.0975           0.0775	       0.0885	    0.1255
-7                    0.0925           0.083	       0.0865	    0.13
-6                    0.08	       0.0825	       0.089	    0.128
-5                    0.0835           0.0845          0.1035       0.13
-4                    0.0835           0.092           0.1065       0.135
-3                    0.08             0.0975          0.1065       0.142 
-2                    0.075            0.096           0.1085       0.143
-1		      0.072            0.105           0.11	    0.139
0		      0.0855           0.1145          0.116	    0.138
1		      0.0875           0.1125          0.125        0.147
2		      0.0875	       0.1225	       0.1395	    0.149	
3		      0.0945	       0.122	       0.145	    0.159
4		      0.1185	       0.1305	       0.141	    0.1595
5		      0.1585	       0.13	       0.149 	    0.1595
6		      0.131	       0.132	       0.155	    0.163
7		      0.159	       0.149	       0.157	    0.16
8		      0.136	       0.155           0.156        0.169
9                     0.174	       0.155           0.155        0.167
10                    0.179            0.159           0.156        0.17
