#d          #Train            #CV           #Test
1	    0.0611	     0.072        0.0805
2           0.0046           0.096        0.0946
3           0.008	     0.094        0.1034
4           0.061	     0.1355       0.1379
5           0.113            0.156        0.1673
6	    0.1652	     0.2055	  0.2097
7	    0.2803	     0.295        0.2976
8           0.3464	     0.348	  0.3539
9	    0.5957	     0.595        0.5718
10	    0.5959           0.5961	  0.5802
11	    0.612	     0.614	  0.589
12	    0.614	     0.614	  0.589
13	    0.614	     0.614	  0.589
14	    0.614	     0.614	  0.589
15          0.614	     0.614	  0.589
16          0.614	     0.614	  0.589


