k    LogisticTestErr      2NNTestErr(10)  2NNTestErr(20) 2NNTestErr(40) 2NNTestErr(80)    RBFLayer(10) RBFLayer(20) RBFLayer(40) RBFLayer(80)
1    0.914		  0.8827	  0.8593	  0.8473	0.844		  0.9213	0.9213	     0.9213	 0.9213	
2    0.7693		  0.7607	  0.7493	  0.7233	0.7153		  0.802		0.802	     0.8013 	 0.802
4    0.5386		  0.582		  0.5366	  0.5066	0.4966	          0.5993	0.5993	     0.5993	 0.5986
8    0.2993		  0.44		  0.3493	  0.3146	0.282		  0.3306	0.3313	     0.332	 0.3313     
16   0.1686   	          0.3213	  0.2167     	  0.1873	0.1687		  0.19		0.186	     0.184	 0.183
32   0.0793	 	  0.2187	  0.14		  0.096	        0.08		  0.0867	0.0907	     0.0853	 0.0913
64   0.066		  0.1653	  0.0966	  0.074		0.0633		  0.064		0.06933	     0.0773	 0.0746	
128  0.058		  0.13		  0.09		  0.0693	0.0613		  0.0673	0.0713	     0.0686	 0.0666 
256  0.054		  0.164		  0.072		  0.058		0.0513		  0.0753	0.0846	     0.068	 0.0766	 
512  0.05		  0.1093	  0.072		  0.0646	0.0553    	  0.086		0.0866	     0.0953      0.0886
617  0.0473		  0.166 	  0.0713	  0.0586	0.0547		  0.0826	0.084	     0.0847	 0.09
