#k         LogisticTestErr		2NNTestErr(80)		RBFLayer(80)		BestNN(data_features()*4)	
1	   0.914			0.844			0.9213			  0.89066666666667		
2	   0.7693			0.7153			0.802			  0.792
4	   0.5386			0.4966			0.5986			  0.55733333333333
8	   0.2993			0.282			0.3313			  0.30066666666667		
16	   0.1686			0.1687			0.183			  0.15933333333333
32	   0.0793			0.08			0.0913			  0.072
64	   0.066			0.0633		        0.0746			  0.054666666666667	
128	   0.058		        0.0613			0.0666			  0.05
256	   0.054			0.0513			0.0766			  0.045333333333333
512	   0.05				0.0553			0.0886			  0.042
617	   0.0473 			0.0547			0.09			  0.045333333333333


